"title","description","article_datetime","article_epoch","stock_datetime","stock_epoch","stock_close","stock_8ma_close","stock_change"
"What U.S. Tech Giants Face in Europe in 2017","Many of Silicon Valley’s largest companies face a growing list of regulatory challenges — and potentially large fines — in Europe this coming year.","2017-01-01T17:39:17+0000","1483292357000","2017-01-03 04:00:00-05:00",1483434000000,"114.22","113.85625","0.0417192732063"
"Google Helping Mobile Publishing? Some Publishers Are Not So Sure","AMP, a method of loading of mobile web pages more quickly, has raised concern among small publishers worried they are losing control of their content.","2017-01-01T23:00:24+0000","1483311624000","2017-01-03 04:00:00-05:00",1483434000000,"114.22","113.85625","0.0417192732063"
"Growing a Different Apple","At Pearl Automation, former Apple employees are blending their old employer’s high quality standards with less paranoia and more openness.","2017-01-02T17:10:45+0000","1483377045000","2017-01-03 04:00:00-05:00",1483434000000,"114.22","113.85625","0.0417192732063"
"Daily Report: An Ex-Apple Employee Firm, Far From the Tree","Pearl Automation’s staff learned design and teamwork at Apple. The workers want to forget about their old employer’s culture of secrecy.","2017-01-03T16:39:42+0000","1483461582000","2017-01-03 12:00:00-05:00",1483462800000,"113.65","113.98625","-0.0844400092116"
"Adding Colors to Mac Folders","Apple’s desktop operating system includes software to create new tints for desktop folders, but you can also jazz them up with apps and new icons.","2017-01-04T16:42:20+0000","1483548140000","2017-01-04 12:00:00-05:00",1483549200000,"114.29","114.24875","-0.00656462324532"
"Apple Removes New York Times Apps From Its Store in China","The technology giant said it was complying with a request from Chinese authorities. Apps from other international publications were still available.","2017-01-04T20:21:33+0000","1483561293000","2017-01-04 16:00:00-05:00",1483563600000,"114.19","114.29125","-0.0262487285772"
"Tech Giants Seem Invincible. That Worries Lawmakers.","Giant tech companies are usually challenged by start-ups. But with no obvious upstart competitors, it may be governments that pose the biggest threat.","2017-01-04T10:00:32+0000","1483524032000","2017-01-04 06:00:00-05:00",1483527600000,"114.24","114.1725","0.0394140445379"
"Bringing iCloud Files Down to Earth","The files you have stored on Apple’s iCloud servers can be saved and stored on your computer.","2017-01-05T16:24:11+0000","1483633451000","2017-01-05 12:00:00-05:00",1483635600000,"114.84","114.39125","0.0491733414925"
"Daily Report: Apple Takes Down The Times’s News App in China","The move came after company and Chinese officials were interviewed for an article about perks for the world’s biggest iPhone plant, in Zhengzhou.","2017-01-05T16:48:35+0000","1483634915000","2017-01-05 12:00:00-05:00",1483635600000,"114.84","114.39125","0.0491733414925"
"In China, Reaction to Times App Removal","Apple has taken down news apps created by The New York Times from its app store in China, following a request from the local authorities.","2017-01-05T16:56:21+0000","1483635381000","2017-01-05 12:00:00-05:00",1483635600000,"114.84","114.39125","0.0491733414925"
"Coming From Automakers: Voice Control That Understands You Better","Ford Motor is announcing it will incorporate Amazon’s Alexa into its vehicles, one of many efforts by automakers to improve voice-recognition systems.","2017-01-05T21:29:04+0000","1483651744000","2017-01-05 17:00:00-05:00",1483653600000,"114.84","114.66375","0.0359747522648"
"Blackstone’s Latest Move Has the Look of a Hit","A private equity investment in the music royalty collector Sesac has a steady outlook.","2017-01-05T19:24:58+0000","1483644298000","2017-01-05 15:00:00-05:00",1483646400000,"114.76","114.58875","0.0632697363397"
"Daily Report: The Next Voice You Hear Will Be Amazon’s","The company is in the middle of a push to get Alexa, its voice-activated assistant, in cars, appliance and more. It looks like a giant play for data.","2017-01-06T17:54:56+0000","1483725296000","2017-01-06 13:00:00-05:00",1483725600000,"115.97","115.4925","0.148278026712"
"Department Stores, Once Anchors at Malls, Become Millstones","Macy’s and Sears have recently announced numerous closings, reflecting a climate in which online and discount retailers have outmaneuvered them.","2017-01-06T01:57:52+0000","1483667872000","2017-01-06 06:00:00-05:00",1483700400000,"114.73","114.74125","0.0228775614698"
"Farhad and Mike’s Week in Tech: Snoozing at CES","Medium got smaller, and the annual consumer electronics show landed with a thud.","2017-01-07T14:30:03+0000","1483799403000","2017-01-09 04:00:00-05:00",1483952400000,"115.85","116.01375","-0.00538729245455"
"Russia Requires Apple and Google to Remove LinkedIn From Local App Stores","The move came after a November court ruling found the professional networking service in violation of Russia’s internet laws.","2017-01-07T00:53:46+0000","1483750426000","2017-01-09 04:00:00-05:00",1483952400000,"115.85","116.01375","-0.00538729245455"
"Data Could Be the Next Tech Hot Button for Regulators","For decades, dominance in the technology industry was based on software or hardware. Now it is increasingly based on who owns the best data.","2017-01-09T00:49:03+0000","1483922943000","2017-01-09 04:00:00-05:00",1483952400000,"115.85","116.01375","-0.00538729245455"
"Chief Executive of Audio Firm Sonos Steps Down","The Santa Barbara, Calif., company has managed to compete with industry giants for 14 years. But it faces new challenges from Amazon and Google.","2017-01-10T18:30:02+0000","1484073002000","2017-01-10 14:00:00-05:00",1484074800000,"117.2","117.0875","0.0"
"Silicon Valley Takes a Right Turn","Microsoft, Facebook, Google and Amazon used their PACs to support Republican Congressional candidates more than Democratic ones in 2016.","2017-01-12T08:21:03+0000","1484209263000","2017-01-12 04:00:00-05:00",1484211600000,"117.46","117.72875","0.0201734920315"
"Find and Use Emoji Symbols on Your Computer","Those expressive graphic characters aren’t just for mobile gadgets, and you can work them into documents on your Mac or PC.","2017-01-13T17:49:43+0000","1484329783000","2017-01-13 13:00:00-05:00",1484330400000,"117.14","117.2325","-0.00639754334335"
"Taking the Long View Paid Off in the Short Term, Too","Three of the top-performing mutual funds for the fourth quarter stuck with stocks much longer than most do. That paid off.","2017-01-13T21:32:22+0000","1484343142000","2017-01-13 17:00:00-05:00",1484344800000,"117.15","117.17125","0.00320044379487"
