"pub_date","pub_date_epoch","snippet","headline.main"
"2017-01-01T17:39:17+0000","1483292357000","Many of Silicon Valley’s largest companies face a growing list of regulatory challenges — and potentially large fines — in Europe this coming year.","What U.S. Tech Giants Face in Europe in 2017"
"2017-01-01T23:00:24+0000","1483311624000","AMP, a method of loading of mobile web pages more quickly, has raised concern among small publishers worried they are losing control of their content.","Google Helping Mobile Publishing? Some Publishers Are Not So Sure"
"2017-01-02T17:10:45+0000","1483377045000","At Pearl Automation, former Apple employees are blending their old employer’s high quality standards with less paranoia and more openness.","Growing a Different Apple"
"2017-01-03T16:39:42+0000","1483461582000","Pearl Automation’s staff learned design and teamwork at Apple. The workers want to forget about their old employer’s culture of secrecy.","Daily Report: An Ex-Apple Employee Firm, Far From the Tree"
"2017-01-04T16:42:20+0000","1483548140000","Apple’s desktop operating system includes software to create new tints for desktop folders, but you can also jazz them up with apps and new icons.","Adding Colors to Mac Folders"
"2017-01-04T20:21:33+0000","1483561293000","The technology giant said it was complying with a request from Chinese authorities. Apps from other international publications were still available.","Apple Removes New York Times Apps From Its Store in China"
"2017-01-04T10:00:32+0000","1483524032000","Giant tech companies are usually challenged by start-ups. But with no obvious upstart competitors, it may be governments that pose the biggest threat.","Tech Giants Seem Invincible. That Worries Lawmakers."
"2017-01-05T16:24:11+0000","1483633451000","The files you have stored on Apple’s iCloud servers can be saved and stored on your computer.","Bringing iCloud Files Down to Earth"
"2017-01-05T16:48:35+0000","1483634915000","The move came after company and Chinese officials were interviewed for an article about perks for the world’s biggest iPhone plant, in Zhengzhou.","Daily Report: Apple Takes Down The Times’s News App in China"
"2017-01-05T16:56:21+0000","1483635381000","Apple has taken down news apps created by The New York Times from its app store in China, following a request from the local authorities.","In China, Reaction to Times App Removal"
"2017-01-05T21:29:04+0000","1483651744000","Ford Motor is announcing it will incorporate Amazon’s Alexa into its vehicles, one of many efforts by automakers to improve voice-recognition systems.","Coming From Automakers: Voice Control That Understands You Better"
"2017-01-05T19:24:58+0000","1483644298000","A private equity investment in the music royalty collector Sesac has a steady outlook.","Blackstone’s Latest Move Has the Look of a Hit"
"2017-01-06T17:54:56+0000","1483725296000","The company is in the middle of a push to get Alexa, its voice-activated assistant, in cars, appliance and more. It looks like a giant play for data.","Daily Report: The Next Voice You Hear Will Be Amazon’s"
"2017-01-06T01:57:52+0000","1483667872000","Macy’s and Sears have recently announced numerous closings, reflecting a climate in which online and discount retailers have outmaneuvered them.","Department Stores, Once Anchors at Malls, Become Millstones"
"2017-01-07T14:30:03+0000","1483799403000","Medium got smaller, and the annual consumer electronics show landed with a thud.","Farhad and Mike’s Week in Tech: Snoozing at CES"
"2017-01-07T00:53:46+0000","1483750426000","The move came after a November court ruling found the professional networking service in violation of Russia’s internet laws.","Russia Requires Apple and Google to Remove LinkedIn From Local App Stores"
"2017-01-09T00:49:03+0000","1483922943000","For decades, dominance in the technology industry was based on software or hardware. Now it is increasingly based on who owns the best data.","Data Could Be the Next Tech Hot Button for Regulators"
"2017-01-10T18:30:02+0000","1484073002000","The Santa Barbara, Calif., company has managed to compete with industry giants for 14 years. But it faces new challenges from Amazon and Google.","Chief Executive of Audio Firm Sonos Steps Down"
"2017-01-12T08:21:03+0000","1484209263000","Microsoft, Facebook, Google and Amazon used their PACs to support Republican Congressional candidates more than Democratic ones in 2016.","Silicon Valley Takes a Right Turn"
"2017-01-13T17:49:43+0000","1484329783000","Those expressive graphic characters aren’t just for mobile gadgets, and you can work them into documents on your Mac or PC.","Find and Use Emoji Symbols on Your Computer"
"2017-01-13T21:32:22+0000","1484343142000","Three of the top-performing mutual funds for the fourth quarter stuck with stocks much longer than most do. That paid off.","Taking the Long View Paid Off in the Short Term, Too"
"2017-01-17T19:30:24+0000","1484681424000","Oculus, a virtual reality company acquired by Facebook, is accused of stealing elements of the technology that went into its headsets.","Mark Zuckerberg, in Suit, Testifies in Oculus Intellectual Property Trial"
"2017-01-18T16:39:35+0000","1484757575000","Newer iPhones can convert a voice mail recording into text so you don’t have to play it to get it.","iPhone, Take a Message"
"2017-01-18T10:00:26+0000","1484733626000","App stores backed by giant corporations have created choke points for the internet, which governments are now exploiting.","Clearing Out the App Stores: Government Censorship Made Easier"
"2017-01-18T00:11:21+0000","1484698281000","The trade commission said Qualcomm used its dominant position as a supplier of phone chips to impose “onerous” supply and licensing terms.","Qualcomm Accused of Anticompetitive Practices by F.T.C."
"2017-01-21T00:25:18+0000","1484958318000","The chip maker’s technology is at heart of the smartphone revolution. But as the company’s influence grows, it is gaining unwanted antitrust attention.","Apple Adds to Qualcomm’s Troubles, Filing Lawsuit Over Rebates"
"2017-01-21T14:30:03+0000","1485009003000","A review of important developments in the tech industry.","Mike’s and Sapna’s Week in Tech: There are Zombie Social Networks. Then There’s Facebook."
"2017-01-23T16:12:52+0000","1485187972000","At least one iPhone model has some units with a defective power cell, but other factors like age and temperature can make the battery conk out.","Fighting iPhone Battery Life Blues"
"2017-01-23T10:42:07+0000","1485168127000","A countrywide, top-down corporate culture stifles South Korean innovation and may have contributed to the company’s problems, critics say.","Samsung Galaxy Note 7 Crisis Signals Problems at Korea Inc."
"2017-01-24T10:00:03+0000","1485252003000","The wildly popular home assistant offers a vision of an automated future — one that Amazon itself is poised to dominate.","How Alexa Fits Into Amazon’s Prime Directive"
"2017-01-24T01:18:14+0000","1485220694000","Corporate bosses are meeting with President Trump, hoping to affect policy and worrying that they could become a target of his tirades.","For C.E.O.s, a New Concern: The Activist in Chief"
"2017-01-25T16:49:38+0000","1485362978000","If a once-beloved app no longer brings you joy, it may be time to move on. Here’s how to know when to look for something better and how to take your data with you.","Dumping a Bad App? Tips for a Painless Breakup"
"2017-01-25T00:59:17+0000","1485305957000","The company apparently plans to issue shares with no voting rights, another sign of how the balance of power has tilted to tech founders. But Snap may have gone too far.","When Snap Goes Public, Some Shareholders’ Voting Rights May Disappear"
"2017-01-27T16:50:24+0000","1485535824000","Apple has many adapters for charging the laptop’s battery, so be sure to get the one designed for your model.","Find the Right Power Cord for Your MacBook"
"2017-01-27T01:06:24+0000","1485479184000","While other tech companies rise and fall with consumer tastes, Google’s parent has been consistent in generating huge earnings.","Alphabet’s Profits Stay Predictably Good in a Volatile Industry"
"2017-01-29T19:27:24+0000","1485718044000","Tech companies, which have embraced globalization, reacted more forcefully to the president’s immigration order than counterparts in other industries.","Silicon Valley’s Ambivalence Toward Trump Turns to Anger"
"2017-01-30T17:35:02+0000","1485797702000","Criminals who spam never stop trying to get your personal information.","Messages About iMessages, but Not From Apple"
"2017-01-30T02:00:03+0000","1485741603000","After revenue declines, Apple’s results — the first since the release of the iPhone 7 — may show an increase. Fed officials will meet for the first policy-making session of the year.","New Apple Results Are Coming, and the Fed Prepares to Convene"
"2017-01-31T02:07:42+0000","1485828462000","Whispered questions among business leaders over the weekend produced no clear consensus on what to say about the President Trump’s immigration order in public.","Frantic Phoning Among C.E.O.s: How to Address Trump Ban?"
"2017-02-01T17:24:07+0000","1485969847000","The company faces slowing iPhone sales growth and uncertain relations with the new president. But revenue is up, and app sales and music are taking off.","Daily Report: At Apple, Triumphs Amid Tribulations"
"2017-02-01T17:08:15+0000","1485968895000","Lens smudges and outdated software can affect the look of your photos, but replacing a damaged camera may be the ultimate fix.","When a Smartphone’s Camera Loses Its Focus"
"2017-02-01T01:38:43+0000","1485913123000","Timothy D. Cook said the iPhone maker hoped to double its services business in the next four years, but it will be harder to predict how to deal with the Trump administration.","Amid Immigration Furor, Apple’s Chief Focuses on Apps and Music"
"2017-02-01T23:30:24+0000","1485991824000","A partnership with H&R Block shows IBM’s strategy for artificial intelligence: Watson will be a smart assistant tailored for specific industries.","IBM Gives Watson a New Challenge: Your Tax Return"
"2017-02-02T17:15:45+0000","1486055745000","The Mac operating system often tucks an unused scroll bar out of sight, but that can be changed in the settings.","Solving the Case of the Mac’s Disappearing Scroll Bars"
